archipelago_name,area,dist,archipelago_cat,latitude,longitude,native_count,endemic_count,elevation
Tiwi Islands,7690.376415,23.782,continental,-11.55766329,130.8220404,940,14,150
Tokelau Islands,18.94053246,4099.086,oceanic,-9.452542123,-171.6192305,36,0,25
Tonga Islands,864.1340701,3363.322909,oceanic,-19.87150847,-174.8123494,644,46,1023
Trinidade & Martin Vaz,14.60913348,1075.743,oceanic,-20.50748169,-29.3085767,46,12,589
Tristan da Cunha Islands,431.4708093,2687.522333,oceanic,-38.72334879,-11.15024713,112,49,2039
Tromelin,1.010436219,1473.601,oceanic,-15.89241858,54.52352553,5,0,10
Tuamotu Archipelago,1650.706547,5689.279208,oceanic,-16.67666981,-143.8829289,159,8,109
Tuvalu,47.76527279,3261.788333,oceanic,-7.62545056,178.1973471,59,0,23
Vanuatu,13736.72258,1865.820684,oceanic,-16.21966167,167.7296995,1355,247,1879
Wake Island Atoll Islands,9.518240572,3608.372,oceanic,19.29053702,166.6333353,28,1,15
Wallis and Futuna,159.9212032,3249.656,oceanic,-13.76410099,-177.1012183,292,3,517
West Australian Islands,22.00762562,46.92224074,continental,-28.62797286,113.7938091,151,0,42
West Baja California Islands,330.9621801,251.611,oceanic,29.03839607,-118.2849725,133,28,1290
West Caribbean Islands,209.7944912,80.88725,oceanic,16.24475011,-86.24299089,318,0,357
Wrangel and Herold Islands,74609.27002,198.498,continental,71.19993234,175,266,19,1087
